date,index_value,type
2019 Jan,309.8,Food & beverages carryout boxes 
2019 Feb,308.8,Food & beverages carryout boxes 
2019 Mar,308.3,Food & beverages carryout boxes 
2019 Apr,309.2,Food & beverages carryout boxes 
2019 May,309.4,Food & beverages carryout boxes 
2019 Jun,309.4,Food & beverages carryout boxes 
2019 Jul,307,Food & beverages carryout boxes 
2019 Aug,306.1,Food & beverages carryout boxes 
2019 Sep,305.4,Food & beverages carryout boxes 
2019 Oct,299.3,Food & beverages carryout boxes 
2019 Nov,299.1,Food & beverages carryout boxes 
2019 Dec,299,Food & beverages carryout boxes 
2020 Jan,298.5,Food & beverages carryout boxes 
2020 Feb,297.8,Food & beverages carryout boxes 
2020 Mar,297.1,Food & beverages carryout boxes 
2020 Apr,296.2,Food & beverages carryout boxes 
2020 May,296.2,Food & beverages carryout boxes 
2020 Jun,296.2,Food & beverages carryout boxes 
2020 Jul,296.7,Food & beverages carryout boxes 
2020 Aug,295.7,Food & beverages carryout boxes 
2020 Sep,295.7,Food & beverages carryout boxes 
2020 Oct,295.7,Food & beverages carryout boxes 
2020 Nov,295.8,Food & beverages carryout boxes 
2020 Dec,296.2,Food & beverages carryout boxes 
2021 Jan,304.9,Food & beverages carryout boxes 
2021 Feb,308.2,Food & beverages carryout boxes 
2021 Mar,309.9,Food & beverages carryout boxes 
2021 Apr,311,Food & beverages carryout boxes 
2021 May,309.8,Food & beverages carryout boxes 
2021 Jun,308.2,Food & beverages carryout boxes 
2021 Jul,320,Food & beverages carryout boxes 
2021 Aug,321.3,Food & beverages carryout boxes 
2021 Sep,325,Food & beverages carryout boxes 
2019 Jan,361.5,Paper and allied products
2019 Feb,361.5,Paper and allied products
2019 Mar,361.8,Paper and allied products
2019 Apr,360.8,Paper and allied products
2019 May,360.8,Paper and allied products
2019 Jun,360.8,Paper and allied products
2019 Jul,360.8,Paper and allied products
2019 Aug,363.4,Paper and allied products
2019 Sep,362.8,Paper and allied products
2019 Oct,363,Paper and allied products
2019 Nov,363,Paper and allied products
2019 Dec,362.9,Paper and allied products
2020 Jan,359.9,Paper and allied products
2020 Feb,359.7,Paper and allied products
2020 Mar,359.1,Paper and allied products
2020 Apr,358.9,Paper and allied products
2020 May,358.9,Paper and allied products
2020 Jun,358.9,Paper and allied products
2020 Jul,358.9,Paper and allied products
2020 Aug,358.9,Paper and allied products
2020 Sep,358.3,Paper and allied products
2020 Oct,358.4,Paper and allied products
2020 Nov,358.5,Paper and allied products
2020 Dec,360.6,Paper and allied products
2021 Jan,369,Paper and allied products
2021 Feb,369.3,Paper and allied products
2021 Mar,375,Paper and allied products
2021 Apr,379.8,Paper and allied products
2021 May,389,Paper and allied products
2021 Jun,395,Paper and allied products
2021 Jul,404.8,Paper and allied products
2021 Aug,407.5,Paper and allied products
2021 Sep,413.5,Paper and allied products
2019 Jan,200.4,Metal and electrical machinery
2019 Feb,200.4,Metal and electrical machinery
2019 Mar,200.4,Metal and electrical machinery
2019 Apr,200.5,Metal and electrical machinery
2019 May,200.3,Metal and electrical machinery
2019 Jun,200.2,Metal and electrical machinery
2019 Jul,200.5,Metal and electrical machinery
2019 Aug,200.1,Metal and electrical machinery
2019 Sep,200,Metal and electrical machinery
2019 Oct,200,Metal and electrical machinery
2019 Nov,199.9,Metal and electrical machinery
2019 Dec,199.9,Metal and electrical machinery
2020 Jan,200.1,Metal and electrical machinery
2020 Feb,200,Metal and electrical machinery
2020 Mar,199.5,Metal and electrical machinery
2020 Apr,199.3,Metal and electrical machinery
2020 May,199,Metal and electrical machinery
2020 Jun,198.9,Metal and electrical machinery
2020 Jul,198.9,Metal and electrical machinery
2020 Aug,198.8,Metal and electrical machinery
2020 Sep,198.8,Metal and electrical machinery
2020 Oct,198.8,Metal and electrical machinery
2020 Nov,199.6,Metal and electrical machinery
2020 Dec,200.5,Metal and electrical machinery
2021 Jan,204,Metal and electrical machinery
2021 Feb,213,Metal and electrical machinery
2021 Mar,214,Metal and electrical machinery
2021 Apr,214.5,Metal and electrical machinery
2021 May,218.8,Metal and electrical machinery
2021 Jun,222.5,Metal and electrical machinery
2021 Jul,230.2,Metal and electrical machinery
2021 Aug,230.8,Metal and electrical machinery
2021 Sep,232.3,Metal and electrical machinery
2019 Jan,345.8,All other end uses
2019 Feb,345.8,All other end uses
2019 Mar,345.3,All other end uses
2019 Apr,344.8,All other end uses
2019 May,344.8,All other end uses
2019 Jun,344.8,All other end uses
2019 Jul,335.9,All other end uses
2019 Aug,335.2,All other end uses
2019 Sep,335,All other end uses
2019 Oct,335.1,All other end uses
2019 Nov,334.9,All other end uses
2019 Dec,334.8,All other end uses
2020 Jan,334.3,All other end uses
2020 Feb,333.9,All other end uses
2020 Mar,331.9,All other end uses
2020 Apr,330.1,All other end uses
2020 May,330.1,All other end uses
2020 Jun,330.1,All other end uses
2020 Jul,329.9,All other end uses
2020 Aug,329.9,All other end uses
2020 Sep,329.9,All other end uses
2020 Oct,329.8,All other end uses
2020 Nov,330.6,All other end uses
2020 Dec,335.2,All other end uses
2021 Jan,341.5,All other end uses
2021 Feb,342,All other end uses
2021 Mar,344.8,All other end uses
2021 Apr,349.5,All other end uses
2021 May,357.2,All other end uses
2021 Jun,359.1,All other end uses
2021 Jul,368.3,All other end uses
2021 Aug,373.1,All other end uses
2021 Sep,401.2,All other end uses
