state,2015,2016,2017,2018,2019,2020
Alabama,598375,939154,742457,1140394,1242302,931047
Alaska,2600139,1814078,2198864,2327912,3356720,1940729
Arizona,2876116,3775930,2545605,2493065,2056952,3030578
Arkansas,1160510,1408189,1392980,1056954,628798,727072
California,93232568,97219512,107396894,115985709,112848404,103598620
Colorado,827746,1325290,1665952,1698025,1703639,3753947
Connecticut,2390326,2583828,2224778,2767170,4028924,2386674
Delaware,1893787,2204851,567750,726301,815850,749623
Florida,5852361,8043265,13420317,11023886,12033553,13456192
Georgia,8229707,11491986,13479164,9543585,16825949,13307054
Hawaii,1548036,1100297,1469480,1586445,1304291,1173528
Idaho,499736,181235,341990,191681,217518,989410
Illinois,18665301,19385393,21124907,21789567,22804437,27682828
Indiana,7287397,5733046,7057351,6896756,5796236,6937068
Iowa,8796467,11555893,11712271,10298000,9721498,6498191
Kansas,836300,672988,1284556,1453148,1812811,1144785
Kentucky,3876403,5853735,4157657,3840432,3898927,3918155
Louisiana,317498,165305,333620,365955,435751,312837
Maine,8180245,7614770,9342460,9959877,12886521,12252238
Maryland,1691261,1793305,1480668,1845432,2511508,2423692
Massachusetts,9987383,7597446,8027607,10266121,11964377,11821842
Michigan,16644592,23792787,25491012,26634894,23848078,18398532
Minnesota,1471753,2596356,2232360,2822689,3111947,3993252
Mississippi,1121072,2287292,1965803,2294389,2390362,2766374
Missouri,4102466,3585519,3571800,3607973,2682889,20296406
Montana,704880,318031,270434,124039,79296,59534
Nebraska,3570809,3487803,5105330,5029591,4857628,5437718
Nevada,3481996,3848740,3764217,1714394,1841520,2489533
New Hampshire,6418052,5138992,3681573,4701166,5124715,4673064
New Jersey,27153253,32162963,28372290,39569682,27965043,32243687
New Mexico,36043,131921,134046,278647,243911,91498
New York,38814704,35017199,39580985,44574324,52224742,54070722
North Carolina,7064722,6556066,8735597,7623700,7982692,9060568
North Dakota,126595,63317,117152,1113492,627141,180685
Ohio,11990346,12004002,17370680,14243592,11440960,16208738
Oklahoma,796685,1142178,1056145,1551612,850659,623265
Oregon,2640011,2653973,4454882,4589444,4850924,5877025
Pennsylvania,9946152,6790748,8971692,9778899,10363038,15491087
Rhode Island,2509975,3563758,3037884,3381911,2471029,1910688
South Carolina,4539152,3564322,4759720,4565076,3472595,5170547
South Dakota,44410,19771,48445,101396,71517,114955
Tennessee,4697954,5816155,7773778,6651866,10418923,10964280
Texas,29313373,29293048,35285329,32343101,47211415,70323932
Utah,2532954,3000990,7324477,7234348,6835475,6495998
Vermont,9796702,8707058,9369759,8793261,9710243,8612203
Virginia,1695759,2571031,3745013,3954093,5504006,5891374
Washington,12508659,24462300,22056998,16487673,15847838,16226288
West Virginia,179713,48997,321186,1894640,792382,1107750
Wisconsin,5912888,7847107,10052411,9145985,8807296,10778312
Wyoming,5532,35147,22468,27335,38507,9253
